Title,Department,Location,Salary,Closing Date,UID
Job Centre Work Coach – Universal Credit Job centre Work Coach (Executive Officer) - Greater Manchester (Ref: 644),Department for Work and Pensions,"Bolton Great Moor Street, Cheetham, Eccles, Heywood, Hulme, Hyde, Leigh, Rochdale, Rusholme, Stretford, Oldham, Wythenshawe","Salary : £29,500",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321566
Navy Command - Independent Nuclear Oversight Officer x2,Ministry of Defence,"Helensburgh, Scotland, G84 9HL","Salary : £33,830",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 322031
Senior Campaigns Officer,Department of Health and Social Care,"Leeds, London","Salary : £40,025",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 322327
Better Regulation Lead,Department of Health and Social Care,Leeds and London,"Salary : £40,025",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321689
Intelligence Analyst,Animal and Plant Health Agency,National,"Salary : £30,317 to £36,606",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320443
HR Advisor,Department for Education,"Darlington, North East England, DL1 5QE : Sheffield, Yorkshire and the Humber, S1 2FJ","Salary : £27,790",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321601
Fisheries Data Service Team Manager - South West - Ref : 5542,Marine Management Organisation,"East Midlands (England), East of England, London (region), North East England, North West England, South East England, South West England, West Midlands (England), Yorkshire and the Humber","Salary : £25,726",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 322384
M365 Information Governance Specialist,"Office for Standards in Education, Children's Services and Skills","23 Stephenson Street, Birmingham; Piccadilly Gate, Manchester; Agora, Nottingham; 2 Rivergate, Bristol.","Salary : £40,642 to £41,048",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321994
Home Office Analysis and Insight Embed Analyst,"Department for Levelling Up, Housing and Communities",London,"Salary : £35,400",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 319318
Programme Managers ,"Foreign, Commonwealth & Development Office","East Kilbride, London or Milton Keynes","Salary : £34,500",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 319960
DNO- Defence Nuclear Organisation Finance Business Partners and Defence Nuclear Enterprise Reporting Lead,Ministry of Defence,"MOD Main Building,Whitehall:London, AWE Aldermaston: Reading, MOD Abbeywood:Bristol","Salary : £57,670",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320027
AA Administrative Assistant Receptionist,Ministry of Defence,"Bulford Camp, Salisbury, Wilts, SP4 9AD","Salary : £23,670",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320975
Technical Accounting Lead (2023-7327),Scottish Government,"Leith, Scotland, EH6 6QQ : Glasgow, Scotland, G2 8LU","Salary : £54,973 to £68,540",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321599
Policy and Process Advisor (2023-7335),Scottish Government,"Leith, Scotland, EH6 6QQ : Glasgow, Scotland, G2 8LU","Salary : £43,725 to £52,353",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321581
Technical Accounting Advisor (2023-7324),Scottish Government,"Edinburgh, Glasgow","Salary : £43,725 to £52,353",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321561
Product Manager,Department for Energy Security & Net Zero,"Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £37,470 to £45,565",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320863
Lead Information Management Officer ,Information Commissioner's Office,"Wilmslow, North West England, SK9 5AF","Salary : £31,689 to £35,897",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321426
PBS Senior Policy Advisor,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","Salary : £38,052 to £45,354",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 318742
Commercial Deputy Director,Government Commercial Function,"Trinity Bridge House, Salford/ Queen Elizabeth House, Edinburgh/ Victoria Square House, Birmingham, B2 4AJ/ Crown Way, Cardiff CF14 3UZ/ 3-8 Whitehall, London. Occasional travel to other offices, a few times ... see the job advert for full location information","Salary : £91,000 to £128,000",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321347
Deputy Director – Commercial Shared Services,Government Commercial Function,"London, Salford, Birmingham, Edinburgh, Cardiff with regular travel to London if not based in London","Salary : £91,000 to £128,000",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321308
Senior Analyst (Strategy & Policy),Defence Science and Technology Laboratory,"Dstl Portsdown West Fareham, Hampshire, PO17 6AD","Salary : £35,970 to £41,848",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321145
Lead Market Health Analyst,Government Commercial Function,"Bristol, Glasgow, Manchester, Norwich, York","Salary : £68,775 to £75,920",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 321062
Probation Services Officer in Approved Premises (Ref: 80437),HM Prison & Probation Service,"This position is based at NPS 30 Albion Street Dewsbury, WF13 2AJ","Salary : £23,637 to £29,046",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320880
Defence Digital – Asset & Configuration Manager,Ministry of Defence,"MOD Corsham, Westwells Road, Corsham, SN13 9NR","Salary : £35,290",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 319196
Band 5 Civilian Dental Hygienist - Part Time,Ministry of Defence,"Dental Centre Corsham, Park Land, Corsham, Wiltshire, SN13 9NR","Salary : £27,055 to £32,934",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320065
Senior Analytical Toxicologist,UK Health Security Agency,"Chilton, Oxfordshire","Salary : £40,271 to £46,231",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 320127
Royal Navy Administration Officer for Recruiting Force,Ministry of Defence,"Reading, South East England, RG1 2LN","Salary : £24,040",Closes : 11:55 pm on Thursday 9th November 2023,Reference : 314172
