UID,Managing a Quality Service,Delivering at Pace,Leadership,Seeing the Big Picture,Working Together,Communicating and Influencing,Making Effective Decisions,Changing and Improving,Developing Self and Others
320359,False,False,True,True,True,True,True,False,False
311526,False,False,True,True,True,True,True,False,False
309036,False,False,True,True,True,True,True,False,False
322852,False,False,True,True,True,True,True,False,False
326834,False,False,True,True,True,True,True,False,False
323587,False,False,True,True,True,True,True,False,False
326091,False,False,True,True,True,True,True,False,False
326084,False,False,True,True,True,True,True,False,False
324699,False,False,True,True,True,True,True,False,False
322833,False,False,True,True,True,True,True,False,False
323614,False,False,True,True,True,True,True,False,False
326889,False,False,True,True,True,True,True,False,False
322304,False,False,True,True,True,True,True,False,False
327326,False,False,True,True,True,True,True,False,False
326584,False,False,True,True,True,True,True,False,False
326225,False,False,True,True,True,True,True,False,False
327162,False,False,True,True,True,True,True,False,False
326653,False,False,True,True,True,True,True,False,False
327118,False,False,True,True,True,True,True,False,False
321989,False,False,True,True,True,True,True,False,False
325902,False,False,True,True,True,True,True,False,False
327096,False,False,True,True,True,True,True,False,False
327095,False,False,True,True,True,True,True,False,False
326964,False,False,True,True,True,True,True,False,False
327064,False,False,True,True,True,True,True,False,False
317893,False,False,True,True,True,True,True,False,False
327055,False,False,True,True,True,True,True,False,False
327045,False,False,True,True,True,True,True,False,False
327056,False,False,True,True,True,True,True,False,False
326363,False,False,True,True,True,True,True,False,False
327044,False,False,True,True,True,True,True,False,False
327039,False,False,True,True,True,True,True,False,False
326995,False,False,True,True,True,True,True,False,False
326999,False,False,True,True,True,True,True,False,False
326011,False,False,True,True,True,True,True,False,False
320286,False,False,True,True,True,True,True,False,False
326986,False,False,True,True,True,True,True,False,False
326354,False,False,True,True,True,True,True,False,False
326796,False,False,True,True,True,True,True,False,False
326966,False,False,True,True,True,True,True,False,False
325615,False,False,True,True,True,True,True,False,False
326951,False,False,True,True,True,True,True,False,False
326954,False,False,True,True,True,True,True,False,False
326942,False,False,True,True,True,True,True,False,False
326937,False,False,True,True,True,True,True,False,False
326418,False,False,True,True,True,True,True,False,False
326907,False,False,True,True,True,True,True,False,False
326908,False,False,True,True,True,True,True,False,False
311339,False,False,True,True,True,True,True,False,False
326902,False,False,True,True,True,True,True,False,False
325155,False,False,True,True,True,True,True,False,False
326125,False,False,True,True,True,True,True,False,False
326502,False,False,True,True,True,True,True,False,False
326835,False,False,True,True,True,True,True,False,False
326790,False,False,True,True,True,True,True,False,False
326770,False,False,True,True,True,True,True,False,False
326730,False,False,True,True,True,True,True,False,False
326716,False,False,True,True,True,True,True,False,False
326711,False,False,True,True,True,True,True,False,False
325666,False,False,True,True,True,True,True,False,False
326250,False,False,True,True,True,True,True,False,False
326286,False,False,True,True,True,True,True,False,False
326487,False,False,True,True,True,True,True,False,False
325630,False,False,True,True,True,True,True,False,False
324519,False,False,True,True,True,True,True,False,False
316812,False,False,True,True,True,True,True,False,False
324804,False,False,True,True,True,True,True,False,False
316801,False,False,True,True,True,True,True,False,False
326211,False,False,True,True,True,True,True,False,False
323686,False,False,True,True,True,True,True,False,False
325540,False,False,True,True,True,True,True,False,False
324702,False,False,True,True,True,True,True,False,False
325561,False,False,True,True,True,True,True,False,False
325564,False,False,True,True,True,True,True,False,False
325572,False,False,True,True,True,True,True,False,False
325569,False,False,True,True,True,True,True,False,False
325566,False,False,True,True,True,True,True,False,False
325568,False,False,True,True,True,True,True,False,False
325539,False,False,True,True,True,True,True,False,False
325577,False,False,True,True,True,True,True,False,False
325545,False,False,True,True,True,True,True,False,False
325554,False,False,True,True,True,True,True,False,False
325562,False,False,True,True,True,True,True,False,False
326049,False,False,True,True,True,True,True,False,False
326016,False,False,True,True,True,True,True,False,False
325918,False,False,True,True,True,True,True,False,False
325920,False,False,True,True,True,True,True,False,False
325916,False,False,True,True,True,True,True,False,False
325846,False,False,True,True,True,True,True,False,False
325685,False,False,True,True,True,True,True,False,False
324884,False,False,True,True,True,True,True,False,False
325557,False,False,True,True,True,True,True,False,False
324971,False,False,True,True,True,True,True,False,False
325309,False,False,True,True,True,True,True,False,False
325260,False,False,True,True,True,True,True,False,False
325186,False,False,True,True,True,True,True,False,False
325084,False,False,True,True,True,True,True,False,False
322532,False,False,True,True,True,True,True,False,False
324382,False,False,True,True,True,True,True,False,False
324373,False,False,True,True,True,True,True,False,False
324362,False,False,True,True,True,True,True,False,False
324358,False,False,True,True,True,True,True,False,False
324230,False,False,True,True,True,True,True,False,False
324350,False,False,True,True,True,True,True,False,False
324396,False,False,True,True,True,True,True,False,False
324040,False,False,True,True,True,True,True,False,False
324038,False,False,True,True,True,True,True,False,False
323996,False,False,True,True,True,True,True,False,False
323984,False,False,True,True,True,True,True,False,False
323426,False,False,True,True,True,True,True,False,False
323689,False,False,True,True,True,True,True,False,False
323491,False,False,True,True,True,True,True,False,False
323434,False,False,True,True,True,True,True,False,False
323417,False,False,True,True,True,True,True,False,False
323285,False,False,True,True,True,True,True,False,False
300950,False,False,True,True,True,True,True,False,False
324145,False,False,True,True,True,True,True,False,False
324135,False,False,True,True,True,True,True,False,False
324104,False,False,True,True,True,True,True,False,False
323860,False,False,True,True,True,True,True,False,False
323004,False,False,True,True,True,True,True,False,False
322182,False,False,True,True,True,True,True,False,False
321772,False,False,True,True,True,True,True,False,False
321494,False,False,True,True,True,True,True,False,False
320848,False,False,True,True,True,True,True,False,False
321159,False,False,True,True,True,True,True,False,False
319338,False,False,True,True,True,True,True,False,False
319311,False,False,True,True,True,True,True,False,False
319078,False,False,True,True,True,True,True,False,False
317681,False,False,True,True,True,True,True,False,False
317517,False,False,True,True,True,True,True,False,False
318183,False,False,True,True,True,True,True,False,False
317560,False,False,True,True,True,True,True,False,False
317557,False,False,True,True,True,True,True,False,False
317549,False,False,True,True,True,True,True,False,False
317541,False,False,True,True,True,True,True,False,False
317534,False,False,True,True,True,True,True,False,False
317580,False,False,True,True,True,True,True,False,False
317526,False,False,True,True,True,True,True,False,False
314641,False,False,True,True,True,True,True,False,False
314921,False,False,True,True,True,True,True,False,False
300392,False,False,True,True,True,True,True,False,False
303052,False,False,True,True,True,True,True,False,False
268981,False,False,True,True,True,True,True,False,False
326319,False,False,True,True,True,True,True,False,False
327246,False,False,True,True,True,True,True,False,False
327241,False,False,True,True,True,True,True,False,False
325636,False,False,True,True,True,True,True,False,False
326892,False,False,True,True,True,True,True,False,False
327700,False,False,True,True,True,True,True,False,False
326444,False,False,True,True,True,True,True,False,False
326006,False,False,True,True,True,True,True,False,False
323534,False,False,True,True,True,True,True,False,False
327353,False,False,True,True,True,True,True,False,False
327310,False,False,True,True,True,True,True,False,False
327305,False,False,True,True,True,True,True,False,False
327304,False,False,True,True,True,True,True,False,False
327288,False,False,True,True,True,True,True,False,False
327282,False,False,True,True,True,True,True,False,False
327281,False,False,True,True,True,True,True,False,False
327278,False,False,True,True,True,True,True,False,False
327218,False,False,True,True,True,True,True,False,False
325514,False,False,True,True,True,True,True,False,False
326464,False,False,True,True,True,True,True,False,False
325682,False,False,True,True,True,True,True,False,False
326754,False,False,True,True,True,True,True,False,False
324500,False,False,True,True,True,True,True,False,False
327191,False,False,True,True,True,True,True,False,False
326136,False,False,True,True,True,True,True,False,False
327164,False,False,True,True,True,True,True,False,False
326163,False,False,True,True,True,True,True,False,False
327159,False,False,True,True,True,True,True,False,False
325048,False,False,True,True,True,True,True,False,False
326373,False,False,True,True,True,True,True,False,False
319478,False,False,True,True,True,True,True,False,False
320617,False,False,True,True,True,True,True,False,False
326387,False,False,True,True,True,True,True,False,False
325580,False,False,True,True,True,True,True,False,False
327137,False,False,True,True,True,True,True,False,False
327124,False,False,True,True,True,True,True,False,False
327087,False,False,True,True,True,True,True,False,False
326614,False,False,True,True,True,True,True,False,False
326160,False,False,True,True,True,True,True,False,False
327093,False,False,True,True,True,True,True,False,False
326236,False,False,True,True,True,True,True,False,False
327034,False,False,True,True,True,True,True,False,False
327030,False,False,True,True,True,True,True,False,False
327008,False,False,True,True,True,True,True,False,False
327027,False,False,True,True,True,True,True,False,False
327019,False,False,True,True,True,True,True,False,False
323909,False,False,True,True,True,True,True,False,False
327006,False,False,True,True,True,True,True,False,False
327001,False,False,True,True,True,True,True,False,False
326985,False,False,True,True,True,True,True,False,False
326994,False,False,True,True,True,True,True,False,False
326974,False,False,True,True,True,True,True,False,False
326938,False,False,True,True,True,True,True,False,False
326220,False,False,True,True,True,True,True,False,False
326916,False,False,True,True,True,True,True,False,False
326833,False,False,True,True,True,True,True,False,False
326748,False,False,True,True,True,True,True,False,False
326691,False,False,True,True,True,True,True,False,False
325234,False,False,True,True,True,True,True,False,False
326241,False,False,True,True,True,True,True,False,False
326562,False,False,True,True,True,True,True,False,False
326553,False,False,True,True,True,True,True,False,False
326526,False,False,True,True,True,True,True,False,False
326471,False,False,True,True,True,True,True,False,False
326427,False,False,True,True,True,True,True,False,False
326000,False,False,True,True,True,True,True,False,False
325885,False,False,True,True,True,True,True,False,False
325854,False,False,True,True,True,True,True,False,False
325850,False,False,True,True,True,True,True,False,False
323556,False,False,True,True,True,True,True,False,False
324755,False,False,True,True,True,True,True,False,False
325306,False,False,True,True,True,True,True,False,False
325272,False,False,True,True,True,True,True,False,False
325224,False,False,True,True,True,True,True,False,False
317962,False,False,True,True,True,True,True,False,False
323384,False,False,True,True,True,True,True,False,False
324589,False,False,True,True,True,True,True,False,False
324524,False,False,True,True,True,True,True,False,False
323957,False,False,True,True,True,True,True,False,False
322226,False,False,True,True,True,True,True,False,False
317510,False,False,True,True,True,True,True,False,False
316929,False,False,True,True,True,True,True,False,False
313979,False,False,True,True,True,True,True,False,False
223695,False,False,True,True,True,True,True,False,False
277379,False,False,True,True,True,True,True,False,False
326818,False,False,True,True,True,True,True,False,False
326446,False,False,True,True,True,True,True,False,False
326448,False,False,True,True,True,True,True,False,False
326807,False,False,True,True,True,True,True,False,False
326431,False,False,True,True,True,True,True,False,False
326864,False,False,True,True,True,True,True,False,False
325081,False,False,True,True,True,True,True,False,False
327094,False,False,True,True,True,True,True,False,False
328750,False,False,True,True,True,True,True,False,False
327295,False,False,True,True,True,True,True,False,False
